KO	base_KO	name	symbol	n_isolates	perc_isolates	module	pathways	Actinomyces__(15)	Cutibacterium__(14)	Fusobacterium+Leptotrichia__(13)	Gemella__(5)	Granulicatella__(12)	Haemophilus__(11)	Micrococcus__(7)	Neisseria__(8)	Pauljensenia__(9)	Prevotella__(6)	Rothia__(4)	Staphy.+Nialla__(10)	Strep.I__(1)	Strep.II__(2)	Strep.III__(16)	Veillonella__(3)
K11032	K01771	hemolysin II	hlyII	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K11038	K01771	leukocidin/hemolysin toxin family protein	hlg, luk	1	0.794		map05150 Staphylococcus aureus infection	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K11040	K01771	staphylococcal enterotoxin	se	1	0.794		map05150 Staphylococcus aureus infection	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K12660	K01771	2-dehydro-3-deoxy-L-rhamnonate aldolase [EC:4.1.2.53]	rhmA	1	0.794		map00051 Fructose and mannose metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K13715	K01771	staphopain B [EC:3.4.22.-]	sspB	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K14193	K01771	iron-regulated surface determinant protein A	isdA	1	0.794		map05150 Staphylococcus aureus infection	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K14200	K01771	fibrinogen-binding protein	fib, efb	1	0.794		map05150 Staphylococcus aureus infection	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K14204	K01771	protein Map	eap, map	1	0.794		map05150 Staphylococcus aureus infection	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K16936	K01771	thiosulfate dehydrogenase (quinone) small subunit [EC:1.8.5.2]	doxA	1	0.794		map00920 Sulfur metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K18908	K01771	multidrug efflux pump	mepA	1	0.794	Multidrug resistance, efflux pump MepA	 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K18909	K01771	MarR family transcriptional regulator, repressor for mepA	mepR	1	0.794	Multidrug resistance, efflux pump MepA	 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K19242	K01771	LysR family transcriptional regulator, repressor for citA	citR	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K21365	K01771	O86/O127-antigen biosynthesis alpha-1,3-N-acetylgalactosaminyltransferase [EC:2.4.1.306]	wbnH, wbiN	1	0.794		map00542 O-Antigen repeat unit biosynthesis	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K21591	K01771	teichoic acid glycerol-phosphate transferase [EC:2.7.8.45]	tarF	1	0.794		map00552 Teichoic acid biosynthesis	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K01772	K01772	protoporphyrin/coproporphyrin ferrochelatase [EC:4.98.1.1 4.99.1.9]	hemH, FECH	100	79.365	Heme biosynthesis, plants and bacteria, glutamate => heme	map00860 Porphyrin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors	0.129	0.129	-1.476	0.337	-1.476	0.485	0.629	0.629	0.562	-1.965	0.741	0.562	-0.473	0.164	0.741	0.789
K01777	K01777	proline racemase [EC:5.1.1.4]	prdF	7	5.556		map00330 Arginine and proline metabolism,map00470 D-Amino acid metabolism,map01100 Metabolic pathways	0.496	0.496	0.346	2.848	0.346	0.142	0	0	0.066	-0.058	-0.11	0.066	-0.515	-0.464	-0.11	-0.158
K10793	K01777	D-proline reductase (dithiol) PrdA [EC:1.21.4.1]	prdA	7	5.556		map00330 Arginine and proline metabolism,map00470 D-Amino acid metabolism,map01100 Metabolic pathways	0.496	0.496	0.346	2.848	0.346	0.142	0	0	0.066	-0.058	-0.11	0.066	-0.515	-0.464	-0.11	-0.158
K10795	K01777	D-proline reductase (dithiol)-stabilizing protein PrdD	prdD	7	5.556		 	0.496	0.496	0.346	2.848	0.346	0.142	0	0	0.066	-0.058	-0.11	0.066	-0.515	-0.464	-0.11	-0.158
K01778	K01778	diaminopimelate epimerase [EC:5.1.1.7]	dapF	54	42.857	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	map00300 Lysine biosynthesis,map00470 D-Amino acid metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01230 Biosynthesis of amino acids	0.839	0.839	-0.18	-1.212	-0.74	1.207	1.36	1.36	1.289	0.371	1.481	-0.597	-1.658	-1.599	-1.212	1.152
K01779	K01779	aspartate racemase [EC:5.1.1.13]	racD	7	5.556		map00250 Alanine, aspartate and glutamate metabolism,map00470 D-Amino acid metabolism,map01054 Nonribosomal peptide structures,map01100 Metabolic pathways	0.496	0.496	0.346	-0.11	0.346	0.142	0	0.497	0.066	-0.058	0.806	0.58	0.323	-0.464	-0.11	0.309
K01782	K01782	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]	fadJ	13	10.317	beta-Oxidation	map00071 Fatty acid degradation,map00280 Valine, leucine and isoleucine degradation,map00281 Geraniol degradation,map00310 Lysine degradation,map00362 Benzoate degradation,map00380 Tryptophan metabolism,map00410 beta-Alanine metabolism,map00640 Propanoate metabolism,map00650 Butanoate metabolism,map00903 Limonene and pinene degradation,map00930 Caprolactam degradation,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01212 Fatty acid metabolism	0.218	0.218	0.068	-0.39	0.068	1.221	2.418	0.172	-0.213	-0.338	-0.39	0.695	-0.798	-0.746	-0.39	-0.438
K01784	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2]	galE, GALE	121	96.032	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	map00052 Galactose metabolism,map00520 Amino sugar and nucleotide sugar metabolism,map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01250 Biosynthesis of nucleotide sugars	-0.638	-0.638	-0.488	-0.032	-0.488	-0.285	-0.142	-0.68	-0.208	-0.084	-0.032	-2.377	0.372	0.321	-0.032	0.015
K01785	K01785	aldose 1-epimerase [EC:5.1.3.3]	galM, GALM	87	69.048	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	map00010 Glycolysis / Gluconeogenesis,map00052 Galactose metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments	0.364	0.364	-0.049	-1.736	-0.667	0.722	0.867	-1.194	0.799	0.927	-1.736	0.799	1.407	1.352	0.209	-1.794
K01787	K01787	N-acylglucosamine 2-epimerase [EC:5.1.3.8]	RENBP	6	4.762		map00520 Amino sugar and nucleotide sugar metabolism,map01100 Metabolic pathways	0.562	0.562	0.412	-0.044	0.412	0.208	0.066	0.58	0.132	2.29	-0.044	0.132	-0.449	-0.398	-0.044	-0.092
K01788	K01788	N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]	nanE	64	50.794		map00520 Amino sugar and nucleotide sugar metabolism,map01100 Metabolic pathways	0.699	0.699	-0.88	0.94	0.852	1.063	-0.829	-1.241	0.713	-1.304	-1.36	-0.33	0.72	1.729	-1.36	-1.412
K01790	K01790	dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	rfbC, rmlC	95	75.397	dTDP-L-rhamnose biosynthesis	map00521 Streptomycin biosynthesis,map00523 Polyketide sugar unit biosynthesis,map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01250 Biosynthesis of nucleotide sugars	0.226	-1.209	0.377	-0.867	-1.37	0.583	0.727	0.727	0.66	0.787	0.84	-1.687	1.26	-0.18	0.84	-1.209
K01791	K01791	UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]	wecB	81	64.286		map00520 Amino sugar and nucleotide sugar metabolism,map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01250 Biosynthesis of nucleotide sugars,map02020 Two-component system,map05111 Biofilm formation - Vibrio cholerae	0.457	0.457	-1.128	0.049	-1.128	0.816	0.962	-1.09	-1.429	1.022	-1.628	0.462	0.294	0.223	-0.171	1.126
K01792	K01792	glucose-6-phosphate 1-epimerase [EC:5.1.3.15]	E5.1.3.15	12	9.524		map00010 Glycolysis / Gluconeogenesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments	1.737	0.255	0.105	-0.352	0.105	1.752	-0.242	-0.242	2.36	-0.3	-0.352	-0.175	-0.76	-0.708	-0.352	-0.4
K01795	K01795	mannuronan 5-epimerase [EC:5.1.3.37]	algG	14	11.111		map00051 Fructose and mannose metabolism,map01100 Metabolic pathways	0.931	0.183	0.033	-0.425	0.033	-0.171	0.133	-0.314	-0.248	0.469	-0.425	-0.248	-0.451	-0.031	-0.425	1.56
K01804	K01804	L-arabinose isomerase [EC:5.3.1.4]	araA	4	3.175		map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways	0.729	0.729	0.579	0.123	0.579	0.375	0.233	0.233	1.47	0.738	0.123	0.892	-0.28	-0.229	0.123	0.076
K01805	K01804	xylose isomerase [EC:5.3.1.5]	xylA	4	3.175		map00040 Pentose and glucuronate interconversions,map00051 Fructose and mannose metabolism,map01100 Metabolic pathways	0.729	0.729	0.579	0.123	0.579	0.375	0.233	0.233	1.47	0.738	0.123	0.892	-0.28	-0.229	0.123	0.076
K01807	K01807	ribose 5-phosphate isomerase A [EC:5.3.1.6]	rpiA	74	58.73	Pentose phosphate pathway (Pentose phosphate cycle)	map00030 Pentose phosphate pathway,map00710 Carbon fixation in photosynthetic organisms,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids	-0.868	-0.868	-1.023	1.183	0.711	0.92	-1.39	1.067	-1.319	-1.454	-1.512	0.998	0.414	1.567	1.183	-1.566
K01808	K01808	ribose 5-phosphate isomerase B [EC:5.3.1.6]	rpiB	95	75.397	Pentose phosphate pathway (Pentose phosphate cycle)	map00030 Pentose phosphate pathway,map00051 Fructose and mannose metabolism,map00710 Carbon fixation in photosynthetic organisms,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids	0.226	0.226	0.377	-1.907	-0.812	-1.598	-1.353	0.306	0.66	0.787	0.84	0.66	1.26	1.206	-1.514	0.889
K01809	K01809	mannose-6-phosphate isomerase [EC:5.3.1.8]	manA, MPI	107	84.921	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	map00051 Fructose and mannose metabolism,map00520 Amino sugar and nucleotide sugar metabolism,map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors,map01250 Biosynthesis of nucleotide sugars	-0.034	-0.034	0.116	0.575	0.116	-0.993	0.464	-1.69	0.398	0.523	0.575	0.398	0.986	0.934	0.575	-2.376
K01812	K01812	glucuronate isomerase [EC:5.3.1.12]	uxaC	14	11.111	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways	0.183	1.653	0.033	-0.425	0.626	-0.171	-0.314	-0.314	-0.248	2.469	-0.425	0.216	-0.833	-0.396	0	-0.473
K01813	K01813	L-rhamnose isomerase [EC:5.3.1.14]	rhaA	6	4.762		map00051 Fructose and mannose metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	0.562	0.562	0.412	-0.044	1.775	0.208	0.066	0.066	0.132	0.008	-0.044	0.663	0.753	-0.398	-0.044	-0.092
K01814	K01814	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	hisA	64	50.794	Histidine biosynthesis, PRPP => histidine	map00340 Histidine metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids	0.699	0.699	-0.322	-1.36	-0.88	-0.638	1.212	1.212	1.143	-1.304	1.33	0.301	-0.489	-1.762	1.33	1.382
K01815	K01815	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [EC:5.3.1.17]	kduI	3	2.381		map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways	0.842	0.842	0.692	0.236	1.481	0.488	0.346	0.346	0.412	0.918	0.236	1.072	-0.167	-0.116	0.236	0.189
K01816	K01816	hydroxypyruvate isomerase [EC:5.3.1.22]	hyi, gip	3	2.381		map00630 Glyoxylate and dicarboxylate metabolism,map01100 Metabolic pathways	0.842	0.842	0.692	0.236	0.692	0.488	1.674	0.989	0.412	0.288	0.236	0.412	-0.167	-0.116	0.236	0.189
K21948	K01816	3-dehydrotetronate 4-kinase [EC:2.7.1.217]	otnK	3	2.381		 	0.842	0.842	0.692	0.236	0.692	0.488	1.674	0.989	0.412	0.288	0.236	0.412	-0.167	-0.116	0.236	0.189
K22025	K01816	D-erythronate 2-dehydrogenase [EC:1.1.1.410]	denD	3	2.381		 	0.842	0.842	0.692	0.236	0.692	0.488	1.674	0.989	0.412	0.288	0.236	0.412	-0.167	-0.116	0.236	0.189
K22130	K01816	3-dehydro-4-phosphotetronate decarboxylase [EC:4.1.1.104]	otnC	3	2.381		 	0.842	0.842	0.692	0.236	0.692	0.488	1.674	0.989	0.412	0.288	0.236	0.412	-0.167	-0.116	0.236	0.189
K22131	K01816	2-dehydrotetronate isomerase [EC:5.3.1.35]	otnI	3	2.381		 	0.842	0.842	0.692	0.236	0.692	0.488	1.674	0.989	0.412	0.288	0.236	0.412	-0.167	-0.116	0.236	0.189
K01817	K01817	phosphoribosylanthranilate isomerase [EC:5.3.1.24]	trpF	113	89.683	Tryptophan biosynthesis, chorismate => tryptophan	map00400 Phenylalanine, tyrosine and tryptophan biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids	-0.218	-0.218	-1.309	-2.253	-1.879	0.136	0.279	0.279	0.213	0.338	0.39	0.213	0.798	0.746	0.39	0.438
K01818	K01818	L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]	fucI	17	13.492		map00040 Pentose and glucuronate interconversions,map00051 Fructose and mannose metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	0.829	1.548	-0.061	-0.52	1.723	1.059	0.031	-0.408	2.093	-0.467	-0.52	-0.342	-0.556	-0.877	-0.52	-0.567
K01819	K01819	galactose-6-phosphate isomerase [EC:5.3.1.26]	E5.3.1.26, lacA, lacB	50	39.683		map00052 Galactose metabolism,map01100 Metabolic pathways	-0.53	-0.53	1.052	-1.153	-0.122	-0.89	-1.037	-1.037	-0.969	-1.098	-1.153	0.921	2.047	1.976	-0.761	-1.203
K01820	K01820	L-rhamnose isomerase / sugar isomerase [EC:5.3.1.14 5.3.1.-]	rhaA	2	1.587		map00040 Pentose and glucuronate interconversions,map00051 Fructose and mannose metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	0.991	0.991	0.842	0.386	0.842	0.638	1.294	0.496	1.377	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K10560	K01820	rhamnose transport system permease protein	rhaP	2	1.587		map02010 ABC transporters	0.991	0.991	0.842	0.386	0.842	0.638	1.294	0.496	1.377	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K10561	K01820	rhamnose transport system permease protein	rhaQ	2	1.587		map02010 ABC transporters	0.991	0.991	0.842	0.386	0.842	0.638	1.294	0.496	1.377	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K10562	K01820	rhamnose transport system ATP-binding protein [EC:7.5.2.-]	rhaT	2	1.587		map02010 ABC transporters	0.991	0.991	0.842	0.386	0.842	0.638	1.294	0.496	1.377	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K01821	K01821	4-oxalocrotonate tautomerase [EC:5.3.2.6]	praC, xylH	86	68.254	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	map00362 Benzoate degradation,map00621 Dioxin degradation,map00622 Xylene degradation,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01220 Degradation of aromatic compounds	-1.051	-1.051	-0.032	0.997	0.531	-1.428	-1.588	0.883	-1.513	-1.656	-1.717	0.816	1.425	1.369	0.997	1.046
K01823	K01823	isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]	idi, IDI	75	59.524	C5 isoprenoid biosynthesis, mevalonate pathway	map00900 Terpenoid backbone biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	0.544	0.544	-0.48	1.168	0.697	-1.252	1.052	-1.406	-1.334	-1.071	-1.528	0.984	0.537	1.198	1.168	-1.582
K01829	K01829	disulfide reductase [EC:1.8.-.-]	dsbH	77	61.111		 	-0.912	-0.912	-1.067	0.745	-1.067	-1.282	0.608	-1.437	-1.365	-1.502	0.745	0.954	1.576	1.519	1.138	-1.615
K01834	K01834	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	PGAM, gpmA	113	89.683	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	map00010 Glycolysis / Gluconeogenesis,map00260 Glycine, serine and threonine metabolism,map00680 Methane metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids,map04922 Glucagon signaling pathway,map05230 Central carbon metabolism in cancer	-0.218	-0.218	-0.068	0.39	-0.068	0.136	0.279	0.279	0.213	-0.812	0.39	0.213	0.798	0.746	0.39	-2.833
K01835	K01835	phosphoglucomutase [EC:5.4.2.2]	pgm	117	92.857	Nucleotide sugar biosynthesis, glucose => UDP-glucose	map00010 Glycolysis / Gluconeogenesis,map00030 Pentose phosphate pathway,map00052 Galactose metabolism,map00230 Purine metabolism,map00500 Starch and sucrose metabolism,map00520 Amino sugar and nucleotide sugar metabolism,map00521 Streptomycin biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01250 Biosynthesis of nucleotide sugars	-0.386	-0.386	-0.236	0.221	-0.236	-0.032	0.11	0.11	0.044	0.169	-3.65	0.044	0.627	0.575	0.221	0.269
K01838	K01838	beta-phosphoglucomutase [EC:5.4.2.6]	pgmB	27	21.429		map00500 Starch and sucrose metabolism	-0.149	1.29	0.271	-0.761	0.894	-0.505	1.862	1.447	-0.582	-0.708	-0.761	1.779	-0.25	-1.125	-0.761	-0.81
K01839	K01839	phosphopentomutase [EC:5.4.2.7]	deoB	67	53.175		map00030 Pentose phosphate pathway,map00230 Purine metabolism,map01100 Metabolic pathways	-0.769	-0.769	-0.365	-1.405	0.81	-1.134	-1.285	-1.285	-1.215	-1.348	-1.405	1.1	1.741	0.986	1.286	1.337
K01840	K01840	phosphomannomutase [EC:5.4.2.8]	manB	118	93.651		map00051 Fructose and mannose metabolism,map00520 Amino sugar and nucleotide sugar metabolism,map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01250 Biosynthesis of nucleotide sugars	-0.438	-0.438	-0.288	0.169	-0.288	-0.084	0.058	0.058	-0.008	0.117	0.169	-0.008	0.574	0.523	0.169	-2.899
K01843	K01843	lysine 2,3-aminomutase [EC:5.4.3.2]	kamA	7	5.556		map00310 Lysine degradation,map01100 Metabolic pathways	0.496	0.496	1.674	-0.11	0.346	2.721	0	0	0.066	-0.058	-0.11	0.066	-0.515	-0.464	-0.11	-0.158
K01844	K01843	beta-lysine 5,6-aminomutase alpha subunit [EC:5.4.3.3]	kamD	7	5.556		map00310 Lysine degradation,map00470 D-Amino acid metabolism,map01100 Metabolic pathways	0.496	0.496	1.674	-0.11	0.346	2.721	0	0	0.066	-0.058	-0.11	0.066	-0.515	-0.464	-0.11	-0.158
K03613	K01843	H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E	rnfE	7	5.556		 	0.496	0.496	1.674	-0.11	0.346	2.721	0	0	0.066	-0.058	-0.11	0.066	-0.515	-0.464	-0.11	-0.158
K03803	K01843	sigma-E factor negative regulatory protein RseC	rseC	7	5.556		 	0.496	0.496	1.674	-0.11	0.346	2.721	0	0	0.066	-0.058	-0.11	0.066	-0.515	-0.464	-0.11	-0.158
K08970	K01843	nickel/cobalt transporter (NicO) family protein	rcnA	7	5.556		 	0.496	0.496	1.674	-0.11	0.346	2.721	0	0	0.066	-0.058	-0.11	0.066	-0.515	-0.464	-0.11	-0.158
K09802	K01843	uncharacterized protein	K09802	7	5.556		 	0.496	0.496	1.674	-0.11	0.346	2.721	0	0	0.066	-0.058	-0.11	0.066	-0.515	-0.464	-0.11	-0.158
K10540	K01843	methyl-galactoside transport system substrate-binding protein	mglB	7	5.556		map02010 ABC transporters,map02030 Bacterial chemotaxis	0.496	0.496	1.674	-0.11	0.346	2.721	0	0	0.066	-0.058	-0.11	0.066	-0.515	-0.464	-0.11	-0.158
K01845	K01845	glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]	hemL	62	49.206	Heme biosynthesis, plants and bacteria, glutamate => heme	map00860 Porphyrin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01240 Biosynthesis of cofactors	0.727	0.727	0.88	-1.33	-0.852	1.091	1.241	1.241	1.171	-1.274	1.36	1.171	-0.72	-1.378	-1.33	1.412
K01846	K01846	methylaspartate mutase sigma subunit [EC:5.4.99.1]	glmS, mutS, mamA	4	3.175	Methylaspartate cycle	map00630 Glyoxylate and dicarboxylate metabolism,map00660 C5-Branched dibasic acid metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism	0.729	0.729	2.083	0.123	0.579	0.375	0.233	0.233	0.299	1.286	0.123	0.299	-0.28	-0.229	0.123	0.076
K19268	K01846	methylaspartate mutase epsilon subunit [EC:5.4.99.1]	glmE, mutE, mamB	4	3.175	Methylaspartate cycle	map00630 Glyoxylate and dicarboxylate metabolism,map00660 C5-Branched dibasic acid metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism	0.729	0.729	2.083	0.123	0.579	0.375	0.233	0.233	0.299	1.286	0.123	0.299	-0.28	-0.229	0.123	0.076
K01847	K01847	methylmalonyl-CoA mutase [EC:5.4.99.2]	MUT	12	9.524	Ethylmalonyl pathway	map00280 Valine, leucine and isoleucine degradation,map00630 Glyoxylate and dicarboxylate metabolism,map00640 Propanoate metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism	0.255	1.737	0.105	-0.352	0.105	-0.099	-0.242	-0.242	-0.175	-0.3	-0.352	-0.175	-0.76	-0.708	-0.352	2.983
K14447	K01847	ethylmalonyl-CoA mutase [EC:5.4.99.63]	ecm	12	9.524	Ethylmalonyl pathway	map00630 Glyoxylate and dicarboxylate metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism	0.255	1.737	0.105	-0.352	0.105	-0.099	-0.242	-0.242	-0.175	-0.3	-0.352	-0.175	-0.76	-0.708	-0.352	2.983
K17489	K01847	methylmalonyl-CoA carboxyltransferase 12S subunit [EC:2.1.3.1]	E2.1.3.1-12S	12	9.524		map00640 Propanoate metabolism,map01100 Metabolic pathways	0.255	1.737	0.105	-0.352	0.105	-0.099	-0.242	-0.242	-0.175	-0.3	-0.352	-0.175	-0.76	-0.708	-0.352	2.983
K01851	K01851	salicylate biosynthesis isochorismate synthase [EC:5.4.4.2]	pchA	25	19.841		map00130 Ubiquinone and other terpenoid-quinone biosynthesis,map01053 Biosynthesis of siderophore group nonribosomal peptides,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	-0.108	-0.108	-0.258	2.068	-0.258	-0.463	-0.607	-0.607	-0.54	-0.666	-0.719	1.83	-1.134	-1.081	-0.719	2.138
K01854	K01854	UDP-galactopyranose mutase [EC:5.4.99.9]	glf	64	50.794		map00052 Galactose metabolism,map00520 Amino sugar and nucleotide sugar metabolism,map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01250 Biosynthesis of nucleotide sugars	-0.727	-0.727	-0.88	0.94	0.852	-0.198	-0.829	-0.829	1.143	-0.904	1.33	-0.742	-0.066	0.817	0.089	-1.029
K01857	K01857	3-carboxy-cis,cis-muconate cycloisomerase [EC:5.5.1.2]	pcaB	7	5.556		map00362 Benzoate degradation,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01220 Degradation of aromatic compounds	0.496	2.036	0.346	-0.11	0.346	0.142	2.165	0	0.066	-0.058	-0.11	0.066	-0.515	-0.464	-0.11	-0.158
K01858	K01858	myo-inositol-1-phosphate synthase [EC:5.5.1.4]	INO1, ISYNA1	13	10.317		map00521 Streptomycin biosynthesis,map00562 Inositol phosphate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	0.218	0.218	0.068	-0.39	0.068	-0.136	1.982	-0.279	-0.213	2.116	-0.39	-0.213	-0.798	-0.746	-0.39	-0.438
K01874	K01874	methionyl-tRNA synthetase [EC:6.1.1.10]	MARS, metG	121	96.032		map00450 Selenocompound metabolism,map00970 Aminoacyl-tRNA biosynthesis,map01100 Metabolic pathways	-0.638	-0.638	-0.488	-0.032	-0.488	-0.285	-0.142	-2.721	-0.208	-0.084	-0.032	-0.208	0.372	0.321	-0.032	0.015
K01875	K01875	seryl-tRNA synthetase [EC:6.1.1.11]	SARS, serS	125	99.206		map00970 Aminoacyl-tRNA biosynthesis	-1.217	-1.217	-1.067	-0.611	-1.067	-0.864	-0.722	-1.742	-0.787	-0.663	-0.611	-0.787	-0.21	-0.26	-0.611	-0.564
K01878	K01878	glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]	glyQ	78	61.905		map00970 Aminoacyl-tRNA biosynthesis	-0.926	-0.926	0.653	-1.577	0.653	0.861	-1.453	1.008	-1.38	-1.518	-1.577	-0.952	1.56	1.502	1.123	1.172
K01879	K01878	glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	glyS	78	61.905		map00970 Aminoacyl-tRNA biosynthesis	-0.926	-0.926	0.653	-1.577	0.653	0.861	-1.453	1.008	-1.38	-1.518	-1.577	-0.952	1.56	1.502	1.123	1.172
